市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,卖一价,买一量,卖一量
ZC,CF705,2017-05-04 21:01:56.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,17,15
ZC,CF705,2017-05-04 21:01:57.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,18,15
ZC,CF705,2017-05-04 21:01:58.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,19,15
ZC,CF705,2017-05-04 21:01:58.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,17,15
ZC,CF705,2017-05-04 21:01:59.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,10,15
ZC,CF705,2017-05-04 21:01:59.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,11,15
ZC,CF705,2017-05-04 21:02:00.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,20,15
ZC,CF705,2017-05-04 21:02:00.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,22,15
ZC,CF705,2017-05-04 21:02:01.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,17,15
ZC,CF705,2017-05-04 21:02:02.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,15,15
ZC,CF705,2017-05-04 21:02:03.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,16,15
ZC,CF705,2017-05-04 21:02:04.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,14,15
ZC,CF705,2017-05-04 21:02:04.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,16,15
ZC,CF705,2017-05-04 21:02:06.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15660.0000,16,20
ZC,CF705,2017-05-04 21:02:06.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15660.0000,15,20
ZC,CF705,2017-05-04 21:02:06.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15660.0000,14,20
ZC,CF705,2017-05-04 21:02:07.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15660.0000,9,20
ZC,CF705,2017-05-04 21:02:08.000,15660.0000,52782,0,626400.0000,40,20,20,多换,S,15660.0000,15665.0000,12,10
ZC,CF705,2017-05-04 21:02:12.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15655.0000,15665.0000,3,13
ZC,CF705,2017-05-04 21:02:13.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15655.0000,15665.0000,8,13
ZC,CF705,2017-05-04 21:02:13.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15655.0000,15665.0000,3,13
ZC,CF705,2017-05-04 21:02:15.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15655.0000,15665.0000,4,13
